leaf_id,purity,n_samples,dominant_class
839,0.9072937496341938,133,NR_MALWARE
840,0.9402370834168665,361,NR_MALWARE
845,0.7058532924082835,105,NR_MALWARE
846,0.456427054296577,18,APT
848,0.8512836428339898,76,NR_MALWARE
849,0.9653826536448153,39,NR_MALWARE
852,0.4068578702125276,16,APT
853,0.6257628323276897,19,TRAFFIC_SPIKE
855,0.4253698632501476,70,NR_MALWARE
856,0.7441395140236908,185,NR_MALWARE
860,0.5519886979876729,11,NR_MALWARE
861,0.8846733587848286,485,NR_MALWARE
863,0.9971379224753205,76,NR_MALWARE
864,0.9581734618544052,13,NR_MALWARE
867,1.0,11,APT
868,0.6276698543678663,24,APT
870,0.7617847204260554,53,NR_MALWARE
871,0.9572670310618782,59,NR_MALWARE
877,1.0,11,APT
878,0.91737972572737,5,APT
883,0.9662564946810464,63,NR_MALWARE
884,1.0,14,NR_MALWARE
886,0.7411695628918551,6,NR_MALWARE
887,0.9347159036156799,12,NR_MALWARE
890,0.8224490499672402,45,NR_MALWARE
891,0.9300453520460825,27,NR_MALWARE
892,0.695507782124649,9,NR_MALWARE
893,0.504843593715256,9,NR_MALWARE
895,0.7810578491655165,6,RECON
899,1.0,11,APT
901,0.7291274955368401,60,APT
902,0.8834312010162261,85,APT
903,0.35792526276456627,9,TRAFFIC_SPIKE
905,0.7866891712432637,5,APT
908,0.9130933607330359,75,APT
909,0.7872878495969515,12,APT
911,0.9497205116632734,103,APT
912,0.9953632640594766,30,APT
916,1.0,44,NORMAL
917,1.0,368,NORMAL
920,0.8217466636118907,6,APT
921,1.0,7,APT
922,0.6740590430058258,5,APT
928,0.93107706609659,332,NR_MALWARE
929,0.4045959253698103,140,NR_MALWARE
931,0.9520626387789435,801,NR_MALWARE
932,0.8983991355349519,1466,NR_MALWARE
935,1.0,14,APT
936,0.7328662849777787,29,NR_MALWARE
938,0.7601381954014729,149,NR_MALWARE
939,0.9905657012325472,25,NR_MALWARE
943,0.4223330345148082,6,APT
944,0.8443095496473142,6,TRAFFIC_SPIKE
946,0.9320541833083718,114,APT
947,0.45096907643679934,5,NR_MALWARE
950,0.6549404544925009,11,TRAFFIC_SPIKE
951,1.0,10,APT
953,0.7255098953031375,62,NR_MALWARE
954,0.9912242579786962,80,NR_MALWARE
958,0.8217466636118907,6,APT
959,0.7413717264038806,5,TRAFFIC_SPIKE
961,0.5632168306752631,5,NR_MALWARE
963,0.98627094816075,2354,NR_MALWARE
964,1.0,9,NORMAL
968,1.0,11,NR_MALWARE
969,0.885541525875867,5,NR_MALWARE
970,0.6529163278535409,6,NR_MALWARE
973,0.8126779987432984,5,TRAFFIC_SPIKE
974,0.5803605289105757,5,APT
976,1.0,5,APT
977,1.0,24,APT
981,0.5354235572370232,9,APT
984,1.0,6,TRAFFIC_SPIKE
985,0.5803605289105757,5,APT
987,0.8126779987432984,5,TRAFFIC_SPIKE
988,1.0,16,TRAFFIC_SPIKE
992,1.0,12,TRAFFIC_SPIKE
994,0.7866891712432637,5,APT
996,0.6974278266259137,7,APT
997,0.7763224308991731,21,TRAFFIC_SPIKE
1000,0.6974278266259137,7,APT
1001,0.8443095496473142,6,TRAFFIC_SPIKE
1002,0.8658436701835307,8,APT
1005,0.44643701586596557,17,APT
1008,1.0,5,APT
1009,0.6124885767078238,19,APT
1010,1.0,9,APT
1011,0.5428202796049155,7,TRAFFIC_SPIKE
1014,1.0,49,APT
1015,0.6974278266259137,7,APT
1019,0.6193232228588487,5,TRAFFIC_SPIKE
1020,0.565579687071523,6,APT
1022,0.605781512250219,8,APT
1025,0.9779804878307636,7,APT
1026,1.0,16,APT
1027,0.5803605289105757,5,APT
1029,0.6193232228588487,5,TRAFFIC_SPIKE
1030,0.5354235572370232,9,APT
1035,1.0,335,NORMAL
1037,0.8315056904700135,5,APT
1038,1.0,45,NORMAL
1042,1.0,204,NORMAL
1044,0.5008928158896768,9,TRAFFIC_SPIKE
1046,0.5961636110638374,5,APT
1049,1.0,75,APT
1051,0.7109523579756852,5,APT
1052,1.0,12,APT
1055,0.9459984122921556,20,APT
1056,0.5803605289105757,5,APT
1057,1.0,21,APT
1064,1.0,52,APT
1065,0.7562200746115207,7,APT
1067,0.9998434871571836,864,APT
1068,0.9736924413186219,6,APT
1070,1.0,12,APT
1071,0.5039621940471268,5,TRAFFIC_SPIKE
1075,0.8550890814800157,37,APT
1076,0.5316332150598572,18,APT
1078,0.7305672114792101,7,TRAFFIC_SPIKE
1079,0.7866891712432637,5,APT
1082,0.9994338983174557,479,APT
1083,0.9426702243971641,85,APT
1085,0.5520881967356343,231,APT
1086,0.940788441419178,1265,APT
1089,0.5836065025421461,6,APT
1092,0.8715788234171888,27,APT
1093,0.8443095496473142,6,TRAFFIC_SPIKE
1095,1.0,12,APT
1096,0.967330415898489,5,APT
1098,0.8126779987432984,5,TRAFFIC_SPIKE
1099,0.7866891712432637,5,APT
1100,0.6977809506061999,8,NR_MALWARE
1108,0.5921188581705666,45,APT
1109,0.5551496471551701,49,TRAFFIC_SPIKE
1111,1.0,19,APT
1112,0.7866891712432637,5,APT
1115,0.6899981840801293,159,APT
1116,0.39110135261657264,62,RECON
1118,0.753405448697162,601,APT
1119,0.6624143155503837,721,APT
1123,0.8425146940082402,239,APT
1124,0.7393207466593538,200,APT
1126,0.9783236190545495,107,APT
1127,0.8475764495603894,58,APT
1130,0.648901745148314,7,TRAFFIC_SPIKE
1131,0.6594234123319996,31,APT
1133,0.5421016322278573,18,APT
1134,0.8629597003691704,41,APT
1139,0.9327452447533127,51,APT
1140,0.5590339199567835,19,APT
1142,0.7866891712432637,5,APT
1143,1.0,6,TRAFFIC_SPIKE
1145,1.0,39,APT
1146,0.8806111145743921,9,APT
1150,1.0,6,APT
1151,0.5050809796284823,84,TRAFFIC_SPIKE
1153,1.0,9,TRAFFIC_SPIKE
1154,0.6916432706903268,5,TRAFFIC_SPIKE
1157,0.7879794647215377,60,APT
1158,0.6438324282389449,8,TRAFFIC_SPIKE
1159,0.8668016734653615,7,TRAFFIC_SPIKE
1162,0.9555090860386944,5,NR_MALWARE
1163,0.9862236810983381,6,NR_MALWARE
1165,0.4356042344866381,5,TRAFFIC_SPIKE
1166,1.0,41,NORMAL
1173,0.864778723333129,403,APT
1174,0.6240032620514679,14,APT
1176,0.63441747279034,13,TRAFFIC_SPIKE
1177,0.9400263048861567,18,APT
1178,0.4581182481960025,6,RECON
1182,0.8176858693184731,17,APT
1183,0.9663251683418103,37,APT
1185,0.9969391311617397,45,APT
1186,1.0,137,APT
1189,0.9137385285939058,786,APT
1190,0.7468711663791874,35,APT
1192,0.5965406498690367,6,TRAFFIC_SPIKE
1193,1.0,5,APT
1194,0.7413717264038806,5,TRAFFIC_SPIKE
1196,0.5039621940471268,5,TRAFFIC_SPIKE
1197,1.0,7,TRAFFIC_SPIKE
1206,0.7286139750110124,8,APT
1207,1.0,16,APT
1208,0.6701793383395848,7,TRAFFIC_SPIKE
1210,1.0,5,APT
1213,1.0,597,NORMAL
1214,0.8674665755435091,103,NORMAL
1216,0.5812300327045771,19,APT
1217,1.0,25,NORMAL
1222,0.5916458911299391,18,APT
1223,0.846907340109576,63,APT
1225,0.7344659883534908,8,APT
1226,0.8526059625398905,19,TRAFFIC_SPIKE
1228,0.7866891712432637,5,APT
1229,1.0,29,APT
1231,0.7866891712432637,5,APT
1232,0.8966600789624141,9,TRAFFIC_SPIKE
1235,0.7116043986593974,8,APT
1239,0.9051693229537585,5,NR_MALWARE
1240,0.9972140319118014,52,NR_MALWARE
1241,0.7816315711347201,5,NR_MALWARE
1242,1.0,6,NORMAL
1244,1.0,5,APT
1245,1.0,8,APT
1248,0.5803605289105757,5,APT
1249,1.0,5,APT
1251,1.0,6,APT
1256,1.0,407,NORMAL
1257,0.5139691446164831,32,APT
1258,1.0,3056,NORMAL
1260,1.0,116,NORMAL
1262,1.0,9,NORMAL
1263,0.6888975816353259,6,APT
1265,1.0,191,NORMAL
1267,1.0,8,APT
1268,0.7866891712432637,5,APT
1276,0.9102493853685266,72,APT
1277,0.9927734071134497,150,APT
1278,1.0,9,TRAFFIC_SPIKE
1280,1.0,134,APT
1282,1.0,20,APT
1283,0.5836065025421461,6,APT
1287,1.0,34,APT
1288,0.6740590430058258,5,APT
1290,0.9400263048861567,18,APT
1291,0.5202917328429324,10,TRAFFIC_SPIKE
1293,0.5868797702367483,7,NR_MALWARE
1294,0.7344659883534908,8,APT
1299,0.7792100223669514,73,APT
1300,0.6193232228588487,15,TRAFFIC_SPIKE
1302,1.0,6,APT
1303,0.7436750136904466,5,NR_MALWARE
1306,0.9952546821029006,88,APT
1307,0.6483822220966854,6,APT
1309,1.0,28,NORMAL
1310,0.5517291281942962,7,APT
1313,0.9846693883984236,9,TRAFFIC_SPIKE
1314,0.5202917328429324,6,TRAFFIC_SPIKE
1315,1.0,15,NORMAL
1317,0.7436750136904466,5,NR_MALWARE
1320,1.0,17,APT
1321,0.7634253298428821,9,APT
1325,0.44355341543566246,10,APT
1326,0.7356981432992301,5,NR_MALWARE
1328,0.6438324282389449,8,TRAFFIC_SPIKE
1329,0.8658436701835307,16,APT
1330,1.0,7,TRAFFIC_SPIKE
1332,1.0,727,NORMAL
1335,1.0,7,APT
1336,0.7866891712432637,5,APT
1338,0.8836154009957715,8,TRAFFIC_SPIKE
1340,0.5911916083417927,7,TRAFFIC_SPIKE
1341,0.7715306935775357,6,RECON
1347,0.6740590430058258,5,APT
1350,0.8469073401095759,7,APT
1351,1.0,21,APT
1352,0.6740590430058258,5,APT
1355,0.5803605289105757,5,APT
1357,0.7866891712432637,5,APT
1358,1.0,15,APT
1359,0.6844630166737687,6,TRAFFIC_SPIKE
1361,1.0,6,TRAFFIC_SPIKE
1362,1.0,6,TRAFFIC_SPIKE
1365,0.7344659883534908,8,APT
1366,0.7305672114792101,7,TRAFFIC_SPIKE
1371,0.8126779987432984,5,TRAFFIC_SPIKE
1372,1.0,7,TRAFFIC_SPIKE
1373,0.4959779991345113,5,TRAFFIC_SPIKE
1375,1.0,9,NR_MALWARE
1376,0.7436750136904466,5,NR_MALWARE
1379,0.4756942010039591,5,APT
1382,0.9451151848596275,69,NR_MALWARE
1383,0.7974303390366133,12,NR_MALWARE
1385,0.5083627890444502,6,APT
1386,0.9202824636851741,16,NR_MALWARE
1388,0.6740590430058258,5,APT
1389,0.733530022220426,6,NR_MALWARE
1397,0.8564204540678632,672,APT
1398,0.9613107767488783,200,APT
1400,0.797229181596042,37,TRAFFIC_SPIKE
1401,0.7866891712432637,30,APT
1404,0.9201420725570036,259,APT
1405,0.9986773230957492,103,APT
1407,0.6974278266259137,7,APT
1408,0.9901391440593881,674,APT
1410,0.6674598087042812,5,TRAFFIC_SPIKE
1411,1.0,63,NORMAL
1412,1.0,10,NR_MALWARE
1416,0.9756945915039601,6,TRAFFIC_SPIKE
1417,1.0,9,TRAFFIC_SPIKE
1419,1.0,5,NR_MALWARE
1420,0.6166080573408006,7,NR_MALWARE
1424,0.40297191883042444,20,TRAFFIC_SPIKE
1426,0.3792580558869078,17,APT
1427,0.39122730660842286,18,TRAFFIC_SPIKE
1429,0.49980806069353034,20,APT
1430,0.5803605289105757,5,APT
1431,1.0,6,APT
1437,1.0,40,NORMAL
1438,0.6674598087042812,5,TRAFFIC_SPIKE
1439,1.0,1002,NORMAL
1441,1.0,8,TRAFFIC_SPIKE
1444,0.9960424384377988,35,APT
1445,0.6483822220966854,12,APT
1446,0.6193232228588487,5,TRAFFIC_SPIKE
1450,1.0,12,APT
1451,0.7866891712432637,5,APT
1452,0.8668016734653614,7,TRAFFIC_SPIKE
1454,0.5803605289105757,5,APT
1455,1.0,42,APT
1459,0.4712171748091064,7,TRAFFIC_SPIKE
1461,1.0,5,TRAFFIC_SPIKE
1462,1.0,24,TRAFFIC_SPIKE
1464,0.6844630166737687,6,TRAFFIC_SPIKE
1466,1.0,9,APT
1467,0.7866891712432637,5,APT
1472,0.7086425234898699,93,APT
1473,0.9556004929781032,223,APT
1475,0.8126779987432983,5,TRAFFIC_SPIKE
1476,0.6193232228588487,5,TRAFFIC_SPIKE
1479,0.6905550574889161,78,APT
